id,type,name
ND,state,North Dakota
ND001,county,Adams
ND003,county,Barnes
ND005,county,Benson
ND007,county,Billings
ND009,county,Bottineau
ND011,county,Bowman
ND013,county,Burke
ND015,county,Burleigh
ND017,county,Cass
ND019,county,Cavalier
ND021,county,Dickey
ND023,county,Divide
ND025,county,Dunn
ND027,county,Eddy
ND029,county,Emmons
ND031,county,Foster
ND033,county,Golden Valley
ND035,county,Grand Forks
ND037,county,Grant
ND039,county,Griggs
ND041,county,Hettinger
ND043,county,Kidder
ND045,county,LaMoure
ND047,county,Logan
ND049,county,McHenry
ND051,county,McIntosh
ND053,county,McKenzie
ND055,county,McLean
ND057,county,Mercer
ND059,county,Morton
ND061,county,Mountrail
ND063,county,Nelson
ND065,county,Oliver
ND067,county,Pembina
ND069,county,Pierce
ND071,county,Ramsey
ND073,county,Ransom
ND075,county,Renville
ND077,county,Richland
ND079,county,Rolette
ND081,county,Sargent
ND083,county,Sheridan
ND085,county,Sioux
ND087,county,Slope
ND089,county,Stark
ND091,county,Steele
ND093,county,Stutsman
ND095,county,Towner
ND097,county,Traill
ND099,county,Walsh
ND101,county,Ward
ND103,county,Wells
ND105,county,Williams
